layer_name,layer_idx,class_i,class_j,cosine_similarity
features.0,0,8,3,0.37249401211738586
features.0,0,8,4,0.11935615539550781
features.0,0,8,5,0.6536706686019897
features.0,0,8,6,0.001195836695842445
features.0,0,8,7,0.3778388798236847
features.0,0,8,9,0.22005246579647064
features.0,0,9,0,0.40404361486434937
features.0,0,9,1,0.3852088451385498
features.0,0,9,2,0.3831130564212799
features.0,0,9,3,0.07619322836399078
features.0,0,9,4,0.3760310113430023
features.0,0,9,5,0.1250479370355606
features.0,0,9,6,0.2574840486049652
features.0,0,9,7,0.469955176115036
features.0,0,9,8,0.22005246579647064
features.2,1,0,1,0.22714148461818695
features.2,1,0,2,0.4827513098716736
features.2,1,0,3,0.21567410230636597
features.2,1,0,4,0.0695067048072815
features.2,1,0,5,0.12908241152763367
features.2,1,0,6,0.3338248133659363
features.2,1,0,7,0.2080802619457245
features.2,1,0,8,0.3222483992576599
features.2,1,0,9,0.5217205882072449
features.2,1,1,0,0.22714148461818695
features.2,1,1,2,0.3214651048183441
features.2,1,1,3,0.1830097734928131
features.2,1,1,4,0.31423360109329224
features.2,1,1,5,0.41243135929107666
features.2,1,1,6,0.2376566231250763
features.2,1,1,7,0.2671906352043152
features.2,1,1,8,0.08176824450492859
features.2,1,1,9,0.4982532262802124
features.2,1,2,0,0.4827513098716736
features.2,1,2,1,0.3214651048183441
features.2,1,2,3,0.3596543073654175
features.2,1,2,4,0.08466410636901855
features.2,1,2,5,0.4409204125404358
features.2,1,2,6,0.28843390941619873
features.2,1,2,7,0.45336154103279114
features.2,1,2,8,0.10193441808223724
features.2,1,2,9,0.6613316535949707
features.2,1,3,0,0.21567410230636597
features.2,1,3,1,0.1830097734928131
features.2,1,3,2,0.3596543073654175
features.2,1,3,4,0.69547438621521
features.2,1,3,5,0.8179172873497009
features.2,1,3,6,0.3553423285484314
features.2,1,3,7,0.3760594427585602
features.2,1,3,8,0.3970322012901306
features.2,1,3,9,0.19016481935977936
features.2,1,4,0,0.0695067048072815
features.2,1,4,1,0.31423360109329224
features.2,1,4,2,0.08466410636901855
features.2,1,4,3,0.69547438621521
features.2,1,4,5,0.42201071977615356
features.2,1,4,6,0.48049196600914
features.2,1,4,7,0.615920901298523
features.2,1,4,8,0.1789584755897522
features.2,1,4,9,0.603608250617981
features.2,1,5,0,0.12908241152763367
features.2,1,5,1,0.41243135929107666
features.2,1,5,2,0.4409204125404358
features.2,1,5,3,0.8179172873497009
features.2,1,5,4,0.42201071977615356
features.2,1,5,6,0.21388599276542664
features.2,1,5,7,0.06903478503227234
features.2,1,5,8,0.6904084086418152
features.2,1,5,9,0.04934743046760559
features.2,1,6,0,0.3338248133659363
features.2,1,6,1,0.2376566231250763
features.2,1,6,2,0.28843390941619873
features.2,1,6,3,0.3553423285484314
features.2,1,6,4,0.48049196600914
features.2,1,6,5,0.21388599276542664
features.2,1,6,7,0.008123597130179405
features.2,1,6,8,0.2639213800430298
features.2,1,6,9,0.05558931827545166
features.2,1,7,0,0.2080802619457245
