layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
conv_layers.4,1,0,63,0.7385772466659546,0.5774673819541931
fc_layers.0,2,0,0,0.6775442957878113,0.3048490583896637
fc_layers.0,2,0,1,0.5042741298675537,0.21711213886737823
fc_layers.0,2,0,2,0.5576044917106628,0.31655195355415344
fc_layers.0,2,0,3,0.6129907369613647,0.2521413564682007
fc_layers.0,2,0,4,0.4869084060192108,0.1965099573135376
fc_layers.0,2,0,5,0.5422754287719727,0.17470838129520416
fc_layers.0,2,0,6,0.5700592398643494,0.29135823249816895
fc_layers.0,2,0,7,0.5659880042076111,0.2211868166923523
fc_layers.0,2,0,8,0.6774864196777344,0.2663358151912689
fc_layers.0,2,0,9,0.6613884568214417,0.2729977071285248
fc_layers.0,2,0,10,0.5298345685005188,0.2609451711177826
fc_layers.0,2,0,11,0.6321405172348022,0.37376853823661804
fc_layers.0,2,0,12,0.439630389213562,0.23019883036613464
fc_layers.0,2,0,13,0.5809071660041809,0.3316117227077484
fc_layers.0,2,0,14,0.4112488031387329,0.1771046668291092
fc_layers.0,2,0,15,0.5827692747116089,0.35233011841773987
fc_layers.0,2,0,16,0.46436741948127747,0.23129552602767944
fc_layers.0,2,0,17,0.37777620553970337,0.19233813881874084
fc_layers.0,2,0,18,0.5420929193496704,0.23643505573272705
fc_layers.0,2,0,19,0.690578281879425,0.270359605550766
fc_layers.0,2,0,20,0.4051142930984497,0.24933454394340515
fc_layers.0,2,0,21,0.7167981266975403,0.25818634033203125
fc_layers.0,2,0,22,0.4593718945980072,0.19773626327514648
fc_layers.0,2,0,23,0.6618534326553345,0.38072243332862854
fc_layers.0,2,0,24,0.54352867603302,0.09993991255760193
fc_layers.0,2,0,25,0.5925503969192505,0.26539552211761475
fc_layers.0,2,0,26,0.6323845386505127,0.23082083463668823
fc_layers.0,2,0,27,0.46143531799316406,0.20840567350387573
fc_layers.0,2,0,28,0.5958755016326904,0.23486950993537903
fc_layers.0,2,0,29,0.6037529706954956,0.32961368560791016
fc_layers.0,2,0,30,0.5918700695037842,0.23520399630069733
fc_layers.0,2,0,31,0.5198724865913391,0.15100771188735962
fc_layers.0,2,0,32,0.6743272542953491,0.3125338852405548
fc_layers.0,2,0,33,0.4687364995479584,0.32986944913864136
fc_layers.0,2,0,34,0.5119814872741699,0.23363018035888672
fc_layers.0,2,0,35,0.6422953605651855,0.37216630578041077
fc_layers.0,2,0,36,0.3997713625431061,0.2646605670452118
fc_layers.0,2,0,37,0.6859041452407837,0.2791450619697571
fc_layers.0,2,0,38,0.5617992281913757,0.3066641688346863
fc_layers.0,2,0,39,0.5631640553474426,0.23664627969264984
fc_layers.0,2,0,40,0.5637016892433167,0.3070942163467407
